ID,Month of Launch,Town/Estate,Estimated Flats,lon,lat,Type,flat_type,price
B1,Nov-20,Bishan,1500,103.853475,1.351645,BTO,3-Room,450000
B2,Nov-20,Bishan,1500,103.853475,1.351645,BTO,4-Room,650000
B3,Nov-20,Sembawang,720,103.823202,1.443867,BTO,3-Room,200000
B4,Nov-20,Sembawang,720,103.823202,1.443867,BTO,4-Room,300000
B5,Nov-20,Sembawang,720,103.823202,1.443867,BTO,5-Room,400000
B6,Nov-20,Tampines,750,103.936451,1.339557,BTO,4-Room,400000
B7,Nov-20,Tampines,750,103.936451,1.339557,BTO,5-Room,500000
B8,Nov-20,Tengah,1570,103.730409,1.358622,BTO,3-Room,250000
B9,Nov-20,Tengah,1570,103.730409,1.358622,BTO,4-Room,350000
B10,Nov-20,Tengah,1570,103.730409,1.358622,BTO,5-Room,500000
B11,Nov-20,Toa Payoh,880,103.879971,1.341481,BTO,3-Room,400000
B12,Nov-20,Toa Payoh,350,103.875043,1.33843,BTO,3-Room,400000
B13,Nov-20,Toa Payoh,880,103.879971,1.341481,BTO,4-Room,550000
B14,Nov-20,Toa Payoh,350,103.875043,1.33843,BTO,4-Room,550000
B15,Nov-20,Toa Payoh,880,103.879971,1.341481,BTO,5-Room,650000
B16,Nov-20,Toa Payoh,350,103.875043,1.33843,BTO,5-Room,650000
