"","Postal District","General Area","lon","lat","address"
"2",1,"Raffles      Place, Cecil, Marina, People's Park, Singapore",103.8513447,1.2844837,"raffles place, singapore"
"3",2,"Anson,      Tanjong Pagar, Singapore",103.8450465,1.2740124,"anson rd, singapore"
"4",3,"Queenstown,      Tiong Bahru, Singapore",103.815716,1.2900142,"tiong bahru rd, singapore"
"5",4,"Telok      Blangah, Harbourfront, Singapore",103.809878,1.2707152,"telok blangah, singapore"
"6",5,"Pasir      Panjang, Hong Leong Garden, Clementi New Town, Singapore",103.751897,1.311205,"200 pandan loop d5 pasir panjang, hong leong garden, new town, singapore 128388"
"7",6,"High      Street, Beach Road (part), Singapore",103.8589325,1.2991589,"beach rd, singapore"
"8",7,"Middle      Road, Golden Mile, Singapore",103.8651169,1.3026966,"5001 beach rd, singapore 199588"
"9",8,"Little      India, Singapore",103.851819,1.3065597,"little india, singapore"
"10",9,"Orchard,      Cairnhill, River Valley, Singapore",103.8374646,1.3019833,"orchard rd & cairnhill rd, singapore"
"11",10,"Ardmore,      Bukit Timah, Holland Road, Tanglin, Singapore",103.8284314,1.3101,"7 ardmore park, singapore 259954"
"12",11,"Watten      Estate, Novena, Thomson, Singapore",103.8096272,1.3291184,"watten estate rd, singapore"
"13",12,"Balestier,      Toa Payoh, Serangoon, Singapore",103.8463065,1.3264948,"balestier rd, singapore"
"14",13,"Macpherson,      Braddell, Singapore",103.8789855,1.3312078,"macpherson rd, singapore"
"15",14,"Geylang,      Eunos, Singapore",103.9028883,1.3197342,"30 eunos cres, eunos, singapore 409423"
"16",15,"Katong,      Joo Chiat, Amber Road, Singapore",103.9014504,1.3104856,"284 joo chiat rd, singapore 427538"
"17",16,"Bedok,      Upper East Coast, Eastwood, Kew Drive, Singapore",103.9506355,1.3204241,"kew dr, singapore"
"18",17,"Loyang,      Changi, Singapore",103.9740695,1.37578,"loyang way, singapore"
"19",18,"Tampines,      Pasir Ris, Singapore",103.9393373,1.3719379,"tpe, singapore"
"20",19,"Serangoon      Garden, Hougang, Ponggol, Singapore",103.8662346,1.3638038,"serangoon garden way, singapore"
"21",20,"Bishan,      Ang Mo Kio, Singapore",103.8383362,1.3887365,"42 lentor walk, singapore 788807"
"22",21,"Upper      Bukit Timah, Clementi Park, Ulu Pandan, Singapore",103.7675295,1.3584451,"upper bukit timah rd, singapore"
"23",22,"Jurong, Singapore",103.7435522,1.3328572,"jurong east, singapore"
"24",23,"Hillview,      Dairy Farm, Bukit Panjang, Choa Chu Kang, Singapore",103.7686154,1.3638877,"3 dairy farm rd, singapore 679035"
"25",24,"Lim      Chu Kang, Tengah, Singapore",103.7189928,1.3766481,"500 old choa chu kang rd, singapore 698924"
"26",25,"Kranji,      Woodgrove, Singapore",103.7620278,1.4252268,"10 kranji rd, kranji, singapore 739520"
"27",26,"Upper      Thomson, Springleaf, Singapore",103.8188156,1.3970326,"1 thong soon ave, singapore 787431"
"28",27,"Yishun,      Sembawang, Singapore",103.8239054,1.4414265,"1 jln legundi, singapore 759263"
"29",28,"Seletar, Singapore",103.8663418,1.405163,"seletar, singapore"
