"","idMOP","Type","Town.Name","BTO.Project.Name","Launch.Date","Year.of.Completion","No.of.Studio.units","No.of.2.room.units","No.of.3.room.units","No.of.4.room.units","No.of.5.room.units","No.of.3.gen.units","Total.no.of.units","End_of_mop","lon","lat","type","loctype","address","north","south","east","west"
"1","1","MOP","Punggol","Waterway Terraces","30 Jun 2010",2015,NA,NA,178,588,306,NA,1072,2020,103.9007848,1.4093609,"establishment","rooftop","310b punggol walk, singapore 822310",1.41070988,1.40801192,103.9021338,103.8994358
"2","2","MOP","Punggol","Punggol Topaz","22 Dec 2010",2015,NA,NA,184,542,284,NA,1010,2020,103.8962771,1.4048583,"establishment","rooftop","260 punggol way, singapore 822260",1.40620728,1.40350932,103.8976261,103.8949281
"3","3","MOP","Punggol","Waterway Terraces II","25 Apr 2011",2015,NA,NA,118,440,246,NA,804,2020,103.9007848,1.4093609,"establishment","rooftop","310b punggol walk, singapore 822310",1.41070988,1.40801192,103.9021338,103.8994358
"4","4","MOP","Woodlands","Woodlands Peak","27 May 2011",2015,127,NA,95,NA,NA,NA,222,2020,103.7750909,1.431815,"establishment","rooftop","302a woodlands street 31, singapore 731302",1.43316398,1.43046602,103.7764399,103.7737419
"5","5","MOP","Punggol","Waterway Woodcress","22 Sep 2011",2015,NA,NA,100,350,244,NA,694,2020,103.909202,1.4059811,"establishment","rooftop","677c punggol dr, singapore 823677",1.40733008,1.40463212,103.910551,103.907853
"6","6","MOP","Punggol","Waterway Brooks","22 Sep 2011",2015,156,NA,NA,691,465,NA,1312,2020,103.909202,1.4059811,"establishment","rooftop","677c punggol dr, singapore 823677",1.40733008,1.40463212,103.910551,103.907853
"7","7","MOP","Sengkang","Fernvale Rivergrove","22 Sep 2011",2015,100,NA,484,892,252,NA,1728,2020,103.8805131,1.3966499,"establishment","rooftop","470b fernvale link, singapore 792470",1.39799888,1.39530092,103.8818621,103.8791641
"8","8","MOP","Jurong East","Teban View","22 Sep 2011",2015,NA,NA,185,333,NA,NA,518,2020,103.7374775,1.3219125,"establishment","rooftop","55 - 57 teban gardens rd, singapore 600055",1.32326148,1.32056352,103.7388265,103.7361285
"9","9","MOP","Punggol","Waterway Ridges","24 Nov 2011",2015,NA,NA,224,362,246,NA,832,2020,103.9132209,1.4059009,"establishment","rooftop","670b edgefield plains, singapore 821669",1.40724988,1.40455192,103.9145699,103.9118719
"10","10","MOP","Hougang","Capeview","24 Nov 2011",2015,NA,NA,108,429,244,NA,781,2020,103.9040751,1.3792987,"establishment","rooftop","477c upper serangoon view, singapore 533477",1.38064768,1.37794972,103.9054241,103.9027261
"11","11","MOP","Hougang","Dew Court","24 Nov 2011",2015,198,NA,NA,181,NA,NA,379,2020,103.8935746,1.3635188,"establishment","rooftop","376a hougang street 32, singapore 531376",1.36486778,1.36216982,103.8949236,103.8922256
"12","12","MOP","Yishun","Acacia Breeze","24 Nov 2011",2015,NA,NA,108,418,308,NA,834,2020,103.843994,1.4193772,"clothing_store","rooftop","505a yishun street 51, singapore 761505",1.42072618,1.41802822,103.845343,103.842645
