"","flat_type","town","ID","Town/Name","Project Name","End of MOP","Launch Date","Year Completed","Total Units","lon","lat","Type","num_of_units","price1"
"2","2-Room","ANG MO KIO","M1","Ang Mo Kio","Ang Mo Kio Court",2025,"24 May 2016",2020,156,103.840314,1.3682685,"MOP",156,229690.617109091
"3","2-Room","ANG MO KIO","M2","Ang Mo Kio","Yio Chu Kang Beacon",2028,"12 Nov 2019",2023,132,103.8418911,1.3833851,"MOP",132,229690.617109091
"8","2-Room","BEDOK","M3","Bedok","Bedok South Horizon",2026,"22 Nov 2016",2021,209,103.947097,1.3181586,"MOP",209,236917.435061905
"9","2-Room","BEDOK","M4","Bedok","Bedok North Vale",2025,"22 Nov 2016",2020,121,103.925242,1.3303879,"MOP",121,236917.435061905
"10","2-Room","BEDOK","M5","Bedok","Bedok Beacon",2026,"22 Nov 2016",2021,200,103.9277272,1.3240545,"MOP",200,236917.435061905
"11","2-Room","BEDOK","M6","Bedok","Ping Yi Greens",2020,"28 Mar 2012",2015,98,103.9232223,1.3275598,"MOP",98,236917.435061905
"13","2-Room","BIDADARI","M7","Bidadari","Alkaff Oasis",2025,"24 Feb 2016",2020,218,103.8727282,1.3346028,"MOP",218,354293.3512
"15","2-Room","BIDADARI","M8","Bidadari","Woodleigh Glen",2026,"22 Nov 2016",2021,130,103.8716317,1.3407875,"MOP",130,354293.3512
"16","2-Room","BIDADARI","M9","Bidadari","Woodleigh Hillside",2027,"18 May 2017",2022,158,103.875035,1.3425497,"MOP",158,354293.3512
"19","2-Room","BIDADARI","M10","Bidadari","Alkaff CourtView",2025,"17 Nov 2015",2020,192,103.8718446,1.3365945,"MOP",192,354293.3512
"20","2-Room","BISHAN","M11","Bishan","Bishan Towers",2030,"12 Aug 2020",2025,120,103.8435261,1.3573749,"MOP",120,370821.2247
"21","2-Room","BUKIT BATOK","M12","Bukit Batok","West Edge @ Bukit Batok",2024,"11 Feb 2015",2019,628,103.7399914,1.3590445,"MOP",628,377078.9837
"22","2-Room","BUKIT BATOK","M13","Bukit Batok","Sky Vista",2027,"01 Aug 2017",2022,123,103.742288,1.3620166,"MOP",123,377078.9837
"24","2-Room","BUKIT BATOK","M14","Bukit Batok","SkyPeak @ Bukit Batok",2022,"21 Mar 2013",2017,100,103.7546414,1.3447804,"MOP",100,377078.9837
"26","2-Room","BUKIT BATOK","M15","Bukit Batok","West Terra & Bukit Batok",2023,"24 Sep 2014",2018,462,103.7420189,1.3522808,"MOP",462,377078.9837
"27","2-Room","BUKIT BATOK","M16","Bukit Batok","West Quarry @ Bukit Batok",2024,"17 Nov 2015",2019,337,103.7393258,1.3542492,"MOP",337,377078.9837
"28","2-Room","BUKIT BATOK","M17","Bukit Batok","West Scape",2026,"01 Aug 2017",2021,504,103.742288,1.3620166,"MOP",504,377078.9837
"30","2-Room","BUKIT BATOK","M18","Bukit Batok","West Valley @ Bukit Batok",2023,"22 May 2014",2018,290,103.7411051,1.3520013,"MOP",290,377078.9837
