"","Room","Price","Region"
"1","5-Room",630000,"North-East"
"2","5-Room",550000,"West"
"3","4-Room",805000,"Central"
"4","4-Room",6e+05,"North-East"
"5","4-Room",480000,"North-East"
"6","4-Room",385000,"North"
"7","4-Room",795000,"Central"
"8","3-Room",580000,"West"
"9","5-Room",750000,"North-East"
"10","5-Room",640000,"North-East"
"11","4-Room",950000,"Central"
"12","4-Room",425000,"West"
"13","4-Room",580000,"North-East"
"14","4-Room",650000,"North-East"
"15","4-Room",488888,"West"
"16","5-Room",9e+05,"North-East"
"17","3-Room",520000,"East"
"18","4-Room",430000,"East"
"19","4-Room",590000,"Central"
"20","5-Room",728000,"North-East"
"21","3-Room",638888,"East"
"22","4-Room",838888,"Central"
"23","5-Room",975000,"Central"
"24","4-Room",718000,"East"
"25","5-Room",788000,"East"
"26","5-Room",650000,"North-East"
"27","4-Room",520000,"Central"
"28","4-Room",428000,"North-East"
"29","4-Room",475000,"North-East"
"30","4-Room",455000,"North-East"
"31","3-Room",380000,"North-East"
"32","4-Room",590888,"Central"
"33","4-Room",5e+05,"North-East"
"34","4-Room",708000,"Central"
"35","5-Room",650000,"Central"
"36","3-Room",278000,"Central"
"37","5-Room",650000,"North-East"
"38","4-Room",480000,"North-East"
"39","5-Room",635000,"North-East"
"40","3-Room",520000,"East"
"41","4-Room",390000,"North"
"42","3-Room",475000,"Central"
"43","4-Room",788000,"West"
"44","4-Room",508000,"East"
"45","3-Room",280000,"East"
"46","5-Room",560000,"Central"
"47","3-Room",3e+05,"East"
"48","4-Room",430000,"East"
"49","5-Room",8e+05,"North-East"
"50","5-Room",660000,"North-East"
"51","5-Room",780000,"East"
"52","3-Room",378000,"Central"
"53","4-Room",475000,"North-East"
"54","4-Room",488000,"East"
"55","4-Room",708000,"Central"
"56","4-Room",950000,"Central"
"57","4-Room",750000,"West"
"58","5-Room",570000,"North-East"
"59","4-Room",985000,"Central"
"60","3-Room",288000,"Central"
"61","4-Room",550000,"North-East"
"62","5-Room",760000,"Central"
"63","4-Room",688000,"West"
"64","4-Room",780000,"Central"
"65","5-Room",650000,"North-East"
"66","3-Room",385000,"Central"
"67","5-Room",635000,"North-East"
"68","4-Room",499000,"North-East"
"69","HDB Executive",588000,"North-East"
"70","3-Room",278000,"Central"
"71","5-Room",578000,"North-East"
"72","4-Room",688000,"Central"
"73","3-Room",668000,"Central"
"74","5-Room",780000,"East"
"75","4-Room",838888,"Central"
"76","4-Room",380000,"North-East"
"77","3-Room",360000,"West"
"78","5-Room",650000,"North-East"
"79","4-Room",480000,"West"
"80","3-Room",638888,"East"
"81","5-Room",485000,"North-East"
"82","5-Room",560000,"Central"
"83","3-Room",668000,"Central"
"84","4-Room",450000,"West"
"85","4-Room",430000,"East"
"86","5-Room",5e+05,"West"
"87","5-Room",638000,"East"
"88","4-Room",515000,"North-East"
"89","3-Room",420000,"West"
"90","5-Room",580000,"East"
"91","3-Room",638888,"East"
"92","5-Room",728000,"North-East"
"93","4-Room",425000,"West"
"94","HDB Executive",748000,"Central"
"95","5-Room",598000,"East"
"96","HDB Executive",730000,"West"
"97","4-Room",788000,"West"
"98","3-Room",450000,"Central"
"99","4-Room",458800,"North-East"
"100","HDB Executive",588000,"North-East"
"101","4-Room",480000,"West"
"102","5-Room",440000,"North-East"
"104","4-Room",985000,"Central"
"105","3-Room",320000,"North"
"106","4-Room",780000,"Central"
"107","4-Room",380000,"North-East"
"108","4-Room",480000,"North-East"
"109","4-Room",969000,"Central"
"110","3-Room",520000,"East"
"111","4-Room",475000,"North-East"
"112","4-Room",488000,"East"
"113","5-Room",438000,"North-East"
"114","5-Room",550000,"North-East"
"115","4-Room",550000,"North-East"
"116","4-Room",455000,"North-East"
"117","4-Room",448000,"Central"
"118","4-Room",560000,"Central"
"119","HDB Executive",580000,"North-East"
"120","4-Room",488888,"West"
"121","4-Room",595000,"West"
"122","3-Room",330000,"East"
"123","4-Room",450000,"West"
"124","HDB Executive",580000,"North-East"
"125","3-Room",299000,"North"
"126","5-Room",598000,"West"
"127","5-Room",638000,"East"
"128","5-Room",499999,"West"
"129","5-Room",5e+05,"West"
"130","5-Room",660000,"North-East"
"131","4-Room",688000,"West"
"132","3-Room",290000,"Central"
"133","4-Room",665000,"East"
"134","4-Room",625000,"East"
"135","3-Room",450000,"North-East"
"136","5-Room",650000,"Central"
"137","5-Room",6e+05,"North-East"
"138","4-Room",768000,"West"
"139","3-Room",378000,"Central"
"140","HDB Executive",688000,"East"
"141","5-Room",7e+05,"North-East"
"142","4-Room",550000,"North-East"
"143","4-Room",480000,"West"
"144","4-Room",450000,"North-East"
"145","HDB Executive",490000,"North"
"146","3-Room",330000,"East"
"147","5-Room",650000,"North-East"
"148","5-Room",565000,"East"
"149","4-Room",455000,"North-East"
"150","5-Room",445000,"North-East"
"151","5-Room",479000,"North-East"
"152","5-Room",618000,"West"
"153","4-Room",558000,"North-East"
"154","4-Room",825000,"Central"
"155","4-Room",510000,"Central"
"156","4-Room",518000,"Central"
"157","4-Room",528000,"Central"
"158","5-Room",660000,"West"
"159","5-Room",6e+05,"North-East"
"161","5-Room",468000,"North-East"
"162","4-Room",545000,"North-East"
"163","5-Room",760000,"Central"
"164","3-Room",585000,"East"
"165","4-Room",760000,"Central"
"166","4-Room",6e+05,"North-East"
"167","5-Room",815000,"East"
"168","4-Room",510000,"North-East"
"169","4-Room",450000,"North-East"
"170","HDB Executive",738000,"West"
"171","4-Room",5e+05,"North-East"
"172","3-Room",399000,"Central"
"173","5-Room",7e+05,"West"
"174","4-Room",838000,"Central"
"175","5-Room",780000,"North-East"
"176","HDB Executive",680000,"North"
"177","4-Room",598000,"North-East"
"178","4-Room",508000,"East"
"179","5-Room",560000,"Central"
"180","5-Room",630000,"West"
