"","Address","Info","Area","Price"
"1","  Blk 310B Punggol Walk","5 Room •Improved • Built-2015","112 sqm / $522 psf(Built)","$630,000"
"NA","  Blk 988C Jurong West Street 93","5 Room •Premium Apartment • Built-2008","110 sqm / $464 psf(Built)","$550,000"
"3","  Blk 127D Kim Tian Road","4 Room •Model A • Built-2013","88 sqm / $850 psf(Built)","$805,000"
"4","  Blk 365C Upper Serangoon Road","4 Room •Model A • Built-2016","92 sqm / $606 psf(Built)","$600,000"
"5","  Blk 122A Edgedale Plains","4 Room •Model A • Built-2016","92 sqm / $484 psf(Built)","$480,000"
"6","  Blk 753 Woodlands Circle","4 Room •Model A • Built-1997","103 sqm / $347 psf(Built)","$385,000"
"7","  Blk 86 Dawson Road","4 Room •Premium Apartment • Built-2016","87 sqm / $849 psf(Built)","$795,000"
"8","  Blk 311A Trivelis","3 Room •Improved • Built-2014","60 sqm / $897 psf(Built)","$580,000"
"9","  Blk 316D Punggol Way","5 Room •Improved • Built-2015","113 sqm / $616 psf(Built)","$750,000"
"10","  Blk 135 Bishan Street 12","5 Room •Improved • Built-1987","121 sqm / $491 psf(Built)","$640,000"
"11","  Blk 10A Tiong Bahru View","4 Room •Model A • Built-2016","92 sqm / $959 psf(Built)","$950,000"
"12","  Blk 664D Jurong West Street 64","4 Room •Model A • Built-2000","90 sqm / $438 psf(Built)","$425,000"
"13","  Blk 411A Fernvale Road","4 Room •Model A • Built-2012","96 sqm / $561 psf(Built)","$580,000"
"14","  Blk 107 Bishan Street 12","4 Room •Model A • Built-1985","104 sqm / $580 psf(Built)","$650,000"
"15","  Blk 807C Choa Chu Kang Avenue 1","4 Room •Model A • Built-2015","92 sqm / $493 psf(Built)","$488,888"
"16","  Blk 588C Park Central @ Amk","5 Room •Built-2011","120 sqm / $696 psf(Built)","$900,000"
"17","  Blk 807A Chai Chee Road","3 Room •Model A • Built-2016","68 sqm / $710 psf(Built)","$520,000"
"18","  Blk 121 Bedok North Road","4 Room •New Generation • Built-1978","92 sqm / $434 psf(Built)","$430,000"
"19","  Blk 14A Telok Blangah Crescent","4 Room •Model A • Built-1999","100 sqm / $548 psf(Built)","$590,000"
"20","  Blk 710 Ang Mo Kio Avenue 8","5 Room •Improved • Built-1980","117 sqm / $578 psf(Built)","$728,000"
"21","  Blk 495B Tampines Street 43","3 Room •Built-1994","147 sqm / $403 psf(Built)","$638,888"
"22","  Blk 88 Redhill Close","4 Room •Model A • Built-1995","111 sqm / $702 psf(Built)","$838,888"
"23","  Blk 86 Dawson Road","5 Room •Improved • Built-2016","108 sqm / $838 psf(Built)","$975,000"
"24","  Blk 520A Centrale 8 At Tampines","4 Room •Dbss • Built-2014","84 sqm / $794 psf(Built)","$718,000"
"25","  Blk 128 Bedok Reservoir Road","5 Room •Improved • Built-1986","122 sqm / $600 psf(Built)","$788,000"
"26","  Blk 289D Punggol Place","5 Room •Others • Built-2013","115 sqm / $525 psf(Built)","$650,000"
"27","  Blk 672B Klang Lane","4 Room •Model A • Built-2002","85 sqm / $568 psf(Built)","$520,000"
"28","  Blk 165A Punggol Central","4 Room •Premium Apartment • Built-2004","95 sqm / $418 psf(Built)","$428,000"
"29","  Blk 673B Edgefield Plains","4 Room •Model A • Built-2015","90 sqm / $490 psf(Built)","$475,000"
"30","  Blk 213C Punggol Walk","4 Room •Model A • Built-2015","93 sqm / $454 psf(Built)","$455,000"
"31","  Blk 208A Punggol Place","3 Room •New Generation • Built-2014","67 sqm / $527 psf(Built)","$380,000"
"32","  Blk 681 Race Course Road","4 Room •Model A • Built-1986","103 sqm / $532 psf(Built)","$590,888"
"33","  Blk 113 Bishan Street 12","4 Room •Simplified • Built-1986","84 sqm / $553 psf(Built)","$500,000"
"34","  Blk 155 Lorong 1 Toa Payoh","4 Room •Model A • Built-1999","101 sqm / $651 psf(Built)","$708,000"
"35","  Blk 52 Telok Blangah Drive","5 Room •Improved • Built-1978","118 sqm / $511 psf(Built)","$650,000"
"36","  Blk 70 Lorong 4 Toa Payoh","3 Room •Improved • Built-1969","64 sqm / $403 psf(Built)","$278,000"
"37","  Blk 332B Anchorvale Link","5 Room •Improved • Built-2015","112 sqm / $538 psf(Built)","$650,000"
"38","  Blk 344 Ang Mo Kio Avenue 3","4 Room •New Generation • Built-1978","98 sqm / $454 psf(Built)","$480,000"
"39","  Blk 310C Punggol Walk","5 Room •Premium Apartment • Built-2016","112 sqm / $526 psf(Built)","$635,000"
"40","  Blk 807A Chai Chee Road","3 Room •Model A • Built-2016","68 sqm / $710 psf(Built)","$520,000"
"41","  Blk 479 Sembawang Drive","4 Room •Model A • Built-2000","88 sqm / $411 psf(Built)","$390,000"
"42","  Blk 7 Everton Park","3 Room •Improved • Built-1980","78 sqm / $565 psf(Built)","$475,000"
"43","  Blk 311C Trivelis","4 Room •New Generation • Built-2014","80 sqm / $915 psf(Built)","$788,000"
"44","  Blk 249 Tampines Street 21","4 Room •Model A • Built-1984","103 sqm / $458 psf(Built)","$508,000"
"45","  Blk 530 Bedok North Street 3","3 Room •New Generation • Built-1979","68 sqm / $382 psf(Built)","$280,000"
"46","  Blk 672A Klang Lane","5 Room •Improved • Built-2002","105 sqm / $495 psf(Built)","$560,000"
"47","  Blk 55 Chai Chee Drive","3 Room •Model A • Built-1984","76 sqm / $366 psf(Built)","$300,000"
"48","  Blk 121 Bedok North Road","4 Room •New Generation • Built-1978","92 sqm / $434 psf(Built)","$430,000"
"49","  Blk 268D Punggol Field","5 Room •Improved • Built-2013","112 sqm / $663 psf(Built)","$800,000"
"50","  Blk 666B Punggol Drive","5 Room •Premium Apartment • Built-2016","113 sqm / $542 psf(Built)","$660,000"
"51","  Blk 515C The Premiere @ Tampines","5 Room •Model A • Built-2009","109 sqm / $664 psf(Built)","$780,000"
"52","  Blk 6 Holland Close","3 Room •Improved • Built-1974","65 sqm / $540 psf(Built)","$378,000"
"53","  Blk 673B Edgefield Plains","4 Room •Model A • Built-2015","90 sqm / $490 psf(Built)","$475,000"
"54","  Blk 525C Pasir Ris Street 51","4 Room •Improved • Built-2015","93 sqm / $487 psf(Built)","$488,000"
"55","  Blk 155 Lorong 1 Toa Payoh","4 Room •Model A • Built-1999","101 sqm / $651 psf(Built)","$708,000"
"56","  Blk 89 Dawson Road","4 Room •Standard • Built-2016","95 sqm / $928 psf(Built)","$950,000"
"57","  Blk 311B Trivelis","4 Room •Dbss • Built-2014","81 sqm / $860 psf(Built)","$750,000"
"58","  Blk 213C Punggol Walk","5 Room •Improved • Built-2015","113 sqm / $468 psf(Built)","$570,000"
"59","  Blk 10A Tiong Bahru View","4 Room •Model A • Built-2016","92 sqm / $994 psf(Built)","$985,000"
"60","  Blk 2 Jalan Bukit Merah","3 Room •Improved • Built-1975","63 sqm / $424 psf(Built)","$288,000"
"61","  Blk 220 Serangoon Avenue 4","4 Room •New Generation • Built-1984","93 sqm / $549 psf(Built)","$550,000"
"62","  Blk 111A Depot Road","5 Room •Model A • Built-2006","115 sqm / $614 psf(Built)","$760,000"
"63","  Blk 28B Dover Crescent","4 Room •Model A • Built-2012","88 sqm / $726 psf(Built)","$688,000"
"64","  Blk 17B Circuit Road","4 Room •Model A • Built-2016","93 sqm / $779 psf(Built)","$780,000"
"65","  Blk 289D Punggol Place","5 Room •Others • Built-2013","115 sqm / $525 psf(Built)","$650,000"
"66","  Blk 139 Potong Pasir Avenue 3","3 Room •Model A • Built-1984","74 sqm / $483 psf(Built)","$385,000"
"67","  Blk 310C Punggol Walk","5 Room •Premium Apartment • Built-2016","112 sqm / $526 psf(Built)","$635,000"
"68","  Blk 619A Punggol Drive","4 Room •Model A • Built-2013","93 sqm / $498 psf(Built)","$499,000"
"69","  Blk 202A Compassvale Drive","HDB Executive •Apartment • Built-2001","130 sqm / $420 psf(Built)","$588,000"
"70","  Blk 70 Lorong 4 Toa Payoh","3 Room •Improved • Built-1969","64 sqm / $403 psf(Built)","$278,000"
"71","  Blk 472A Fernvale Rivergrove","5 Room •Design & Built • Built-2016","113 sqm / $475 psf(Built)","$578,000"
"72","  Blk 131B Kim Tian Road","4 Room •Model A • Built-2002","91 sqm / $702 psf(Built)","$688,000"
"73","  Blk 87 Dawson Road","3 Room •New Generation • Built-2015","65 sqm / $954 psf(Built)","$668,000"
"74","  Blk 515C The Premiere @ Tampines","5 Room •Improved • Built-2008","109 sqm / $664 psf(Built)","$780,000"
"75","  Blk 88 Redhill Close","4 Room •Model A • Built-1995","111 sqm / $702 psf(Built)","$838,888"
"76","  Blk 611 Hougang Avenue 8","4 Room •Simplified • Built-1986","84 sqm / $420 psf(Built)","$380,000"
"77","  Blk 428 Clementi Avenue 3","3 Room •Standard • Built-1978","66 sqm / $507 psf(Built)","$360,000"
"78","  Blk 310C Punggol Walk","5 Room •Model A • Built-2016","112 sqm / $538 psf(Built)","$650,000"
"79","  Blk 183C Boon Lay Avenue","4 Room •Model A • Built-2015","92 sqm / $484 psf(Built)","$480,000"
"80","  Blk 495B Tampines Street 43","3 Room •Built-1994","147 sqm / $403 psf(Built)","$638,888"
"81","  Blk 117 Edgefield Plains","5 Room •Model A • Built-2003","112 sqm / $402 psf(Built)","$485,000"
"82","  Blk 672A Klang Lane","5 Room •Improved • Built-2002","105 sqm / $495 psf(Built)","$560,000"
"83","  Blk 87 Dawson Road","3 Room •New Generation • Built-2015","65 sqm / $954 psf(Built)","$668,000"
"84","  Blk 442C Fajar Road","4 Room •Model A • Built-2015","93 sqm / $449 psf(Built)","$450,000"
"85","  Blk 121 Bedok North Road","4 Room •New Generation • Built-1978","92 sqm / $434 psf(Built)","$430,000"
"86","  Blk 111 Jurong East Street 13","5 Room •Improved • Built-1981","120 sqm / $386 psf(Built)","$500,000"
"87","  Blk 19 Bedok South Road","5 Room •Improved • Built-1976","119 sqm / $498 psf(Built)","$638,000"
"88","  Blk 308A Punggol Walk","4 Room •Model A • Built-2016","92 sqm / $520 psf(Built)","$515,000"
"89","  Blk 366 Clementi Avenue 2","3 Room •Model A • Built-2003","61 sqm / $639 psf(Built)","$420,000"
"90","  Blk 488A Tampines Avenue 9","5 Room •Improved • Built-1989","121 sqm / $445 psf(Built)","$580,000"
"91","  Blk 495B Tampines Street 43","3 Room •Built-1994","147 sqm / $403 psf(Built)","$638,888"
"92","  Blk 710 Ang Mo Kio Avenue 8","5 Room •Improved • Built-1980","117 sqm / $578 psf(Built)","$728,000"
"93","  Blk 716 Clementi West Street 2","4 Room •New Generation • Built-1981","91 sqm / $433 psf(Built)","$425,000"
"94","  Blk 639 Bedok Reservoir Road","HDB Executive •Apartment • Built-1993","144 sqm / $482 psf(Built)","$748,000"
"95","  Blk 32 Bedok South Avenue 2","5 Room •Standard • Built-1978","118 sqm / $470 psf(Built)","$598,000"
"96","  Blk 628 Bukit Batok Central","HDB Executive •Multi Generation • Built-1997","140 sqm / $484 psf(Built)","$730,000"
"97","  Blk 311C Trivelis","4 Room •New Generation • Built-2014","80 sqm / $915 psf(Built)","$788,000"
"98","  Blk 4 Sago Lane","3 Room •Improved • Built-1974","67 sqm / $624 psf(Built)","$450,000"
"99","  Blk 451A Sengkang West Way","4 Room •Model A • Built-2015","92 sqm / $463 psf(Built)","$458,800"
"100","  Blk 202A Compassvale Drive","HDB Executive •Apartment • Built-2001","130 sqm / $420 psf(Built)","$588,000"
"101","  Blk 183C Boon Lay Avenue","4 Room •Model A • Built-2015","92 sqm / $484 psf(Built)","$480,000"
"102","  Blk 320 Hougang Avenue 5","5 Room •Model A • Built-1983","121 sqm / $337 psf(Built)","$440,000"
"103","  Blk 612A Punggol Drive","4 Room •Model A • Built-2012","93 sqm / $437 psf(Built)","$438,000"
"104","  Blk 10A Tiong Bahru View","4 Room •Model A • Built-2016","92 sqm / $994 psf(Built)","$985,000"
"105","  Blk 287 Yishun Avenue 6","3 Room •Model A • Built-1985","74 sqm / $401 psf(Built)","$320,000"
"106","  Blk 17B Circuit Road","4 Room •Model A • Built-2016","93 sqm / $779 psf(Built)","$780,000"
"107","  Blk 611 Hougang Avenue 8","4 Room •Simplified • Built-1986","84 sqm / $420 psf(Built)","$380,000"
"108","  Blk 344 Ang Mo Kio Avenue 3","4 Room •New Generation • Built-1978","98 sqm / $454 psf(Built)","$480,000"
"109","  Blk 1G The Pinnacle@Duxton","4 Room •Premium Apartment • Built-2011","93 sqm / $968 psf(Built)","$969,000"
"110","  Blk 807A Chai Chee Road","3 Room •Model A • Built-2016","68 sqm / $710 psf(Built)","$520,000"
"111","  Blk 673B Edgefield Plains","4 Room •Model A • Built-2015","90 sqm / $490 psf(Built)","$475,000"
"112","  Blk 525C Pasir Ris Street 51","4 Room •Improved • Built-2015","93 sqm / $487 psf(Built)","$488,000"
"113","  Blk 172B Edgedale Plains","5 Room •Improved • Built-2004","110 sqm / $369 psf(Built)","$438,000"
"114","  Blk 325 Hougang Avenue 7","5 Room •Improved • Built-1983","121 sqm / $422 psf(Built)","$550,000"
"115","  Blk 308A Punggol Walk","4 Room •Model A • Built-2016","92 sqm / $555 psf(Built)","$550,000"
"116","  Blk 213C Punggol Walk","4 Room •Model A • Built-2015","93 sqm / $454 psf(Built)","$455,000"
"117","  Blk 23B Queen's Close","4 Room •Improved • Built-1973","89 sqm / $467 psf(Built)","$448,000"
"118","  Blk 68 Redhill Close","4 Room •Model A • Built-2001","85 sqm / $612 psf(Built)","$560,000"
"119","  Blk 298C Compassvale Street","HDB Executive •Executive Apartment • Built-2001","134 sqm / $402 psf(Built)","$580,000"
"120","  Blk 807C Choa Chu Kang Avenue 1","4 Room •Model A • Built-2015","92 sqm / $493 psf(Built)","$488,888"
"121","  Blk 138D Lake Vista @ Yuan Ching","4 Room •Dbss • Built-2014","91 sqm / $607 psf(Built)","$595,000"
"122","  Blk 105 Bedok Reservoir Road","3 Room •New Generation • Built-1985","67 sqm / $457 psf(Built)","$330,000"
"123","  Blk 442C Fajar Road","4 Room •Model A • Built-2015","93 sqm / $449 psf(Built)","$450,000"
"124","  Blk 298C Compassvale Street","HDB Executive •Executive Apartment • Built-2001","134 sqm / $402 psf(Built)","$580,000"
"125","  Blk 101 Yishun Avenue 5","3 Room •New Generation • Built-1978","68 sqm / $408 psf(Built)","$299,000"
"126","  Blk 695 Jurong West Central 1","5 Room •Design & Built • Built-1998","126 sqm / $441 psf(Built)","$598,000"
"127","  Blk 19 Bedok South Road","5 Room •Improved • Built-1976","119 sqm / $498 psf(Built)","$638,000"
"128","  Blk 221 Boon Lay Place","5 Room •Standard • Built-1976","109 sqm / $426 psf(Built)","$499,999"
"129","  Blk 111 Jurong East Street 13","5 Room •Improved • Built-1981","120 sqm / $386 psf(Built)","$500,000"
