"","X.1","X","Address","Room","Model","Year","Area","Price","Type","lon","lat","street_name","blk/postalcode","postal_code","postal_2dgt","Postal_District","Region"
"1",1,1,"  Blk 310B Punggol Walk Singapore","5-Room","Improved"," Built-2015","112 sqm / $522 psf(Built)",630000,"Resale",103.9004061,1.4094207,"310b punggol walk"," singapore 822310"," singapore 822310","82","19","North-East"
"2",2,NA,"  Blk 988C Jurong West Street 93 Singapore","5-Room","Premium Apartment"," Built-2008","110 sqm / $464 psf(Built)",550000,"Resale",103.6958416,1.3358952,"988c jurong west street 93"," singapore 643988"," singapore 643988","64","22","West"
"3",3,3,"  Blk 127D Kim Tian Road Singapore","4-Room","Model A"," Built-2013","88 sqm / $850 psf(Built)",805000,"Resale",103.8298718,1.2811233,"127d kim tian rd"," singapore 164127"," singapore 164127","16","03","Central"
"4",4,4,"  Blk 365C Upper Serangoon Road Singapore","4-Room","Model A"," Built-2016","92 sqm / $606 psf(Built)",600000,"Resale",103.8973229,1.3702837,"365 upper serangoon rd"," singapore 530336"," singapore 530336","53","19","North-East"
"5",5,5,"  Blk 122A Edgedale Plains Singapore","4-Room","Model A"," Built-2016","92 sqm / $484 psf(Built)",480000,"Resale",103.9093692,1.3936471,"122a edgedale plains"," singapore 821122"," singapore 821122","82","19","North-East"
"6",6,6,"  Blk 753 Woodlands Circle Singapore","4-Room","Model A"," Built-1997","103 sqm / $347 psf(Built)",385000,"Resale",103.7945038,1.4457669,"753 woodlands cir"," block 753"," singapore 730753","73","25","North"
"7",7,7,"  Blk 86 Dawson Road Singapore","4-Room","Premium Apartment"," Built-2016","87 sqm / $849 psf(Built)",795000,"Resale",103.8103377,1.2956741,"86 dawson rd"," singapore 141086"," singapore 141086","14","03","Central"
"8",8,8,"  Blk 311A Trivelis Singapore","3-Room","Improved"," Built-2014","60 sqm / $897 psf(Built)",580000,"Resale",103.7655694,1.3191667,"311a clementi ave 4"," singapore 121311"," singapore 121311","12","05","West"
"9",9,9,"  Blk 316D Punggol Way Singapore","5-Room","Improved"," Built-2015","113 sqm / $616 psf(Built)",750000,"Resale",103.8969811,1.4081041,"316 punggol way"," singapore 821316"," singapore 821316","82","19","North-East"
"10",10,10,"  Blk 135 Bishan Street 12 Singapore","5-Room","Improved"," Built-1987","121 sqm / $491 psf(Built)",640000,"Resale",103.851245,1.3445821,"135 bishan street 12"," block 135"," singapore 570135","57","20","North-East"
