address,flat_type,avg resale price,lon,lat
1 BEACH RD SINGAPORE,3 ROOM,345181.8181818182,103.8645209,1.3034881
1 BEDOK STH AVE 1 SINGAPORE,3 ROOM,287666.6666666667,103.932945,1.3177824
1 CHAI CHEE RD SINGAPORE,4 ROOM,435000,103.9225418,1.3280646
1 CHAI CHEE RD SINGAPORE,5 ROOM,533000,103.9225418,1.3280646
1 CHANGI VILLAGE RD SINGAPORE,3 ROOM,280000,103.9878738,1.3884846
1 DELTA AVE SINGAPORE,5 ROOM,782333.3333333334,103.8285547,1.2921357
1 DOVER RD SINGAPORE,3 ROOM,334088.8888888889,103.7833667,1.3025543
1 EVERTON PK SINGAPORE,3 ROOM,437500,103.8400579,1.2774492
1 EVERTON PK SINGAPORE,5 ROOM,750000,103.8400579,1.2774492
1 GHIM MOH RD SINGAPORE,3 ROOM,325204.75,103.7868073,1.3129253
1 HAIG RD SINGAPORE,3 ROOM,309300,103.8976789,1.3112025
1 HOUGANG AVE 3 SINGAPORE,3 ROOM,229647.0588235294,103.8929442,1.3641651
1 JLN BT MERAH SINGAPORE,3 ROOM,305857.14285714284,103.8083586,1.2865434
1 KG KAYU RD SINGAPORE,3 ROOM,303571.4285714286,103.883815,1.3036012
1 LOR 7 TOA PAYOH SINGAPORE,3 ROOM,248285.7142857143,103.853378,1.339338
1 LOR LEW LIAN SINGAPORE,3 ROOM,328392.5333333333,103.8752945,1.350781
1 MARINE TER SINGAPORE,5 ROOM,806090.9090909091,103.9186134,1.3048678
1 MARSILING DR SINGAPORE,3 ROOM,217230.94736842104,103.7757377,1.4406299
1 PINE CL SINGAPORE,4 ROOM,622666.6666666666,103.8832694,1.3079191
1 PINE CL SINGAPORE,5 ROOM,807750,103.8832694,1.3079191
1 QUEEN'S RD SINGAPORE,5 ROOM,884000,103.8067765,1.3173411
1 ST. GEORGE'S RD SINGAPORE,4 ROOM,394800,103.8616403,1.3234236
1 TECK WHYE AVE SINGAPORE,3 ROOM,265333.3333333333,103.7517712,1.3825654
1 TECK WHYE AVE SINGAPORE,4 ROOM,291666.6666666667,103.7517712,1.3825654
1 TELOK BLANGAH CRES SINGAPORE,3 ROOM,308769.23076923075,103.8179657,1.2795459
1 TG PAGAR PLAZA SINGAPORE,3 ROOM,463625,103.8426344,1.2748632
1 TOH YI DR SINGAPORE,4 ROOM,671666.6666666666,103.7747655,1.3395672
1 TOH YI DR SINGAPORE,5 ROOM,845500,103.7747655,1.3395672
10 CHAI CHEE RD SINGAPORE,4 ROOM,494250,103.9244409,1.3270163
10 CHAI CHEE RD SINGAPORE,5 ROOM,622962.6666666666,103.9244409,1.3270163
10 EUNOS CRES SINGAPORE,4 ROOM,464214.28571428574,103.9025671,1.3223009
10 GLOUCESTER RD SINGAPORE,3 ROOM,384875,103.8521735,1.3139654
10 GLOUCESTER RD SINGAPORE,4 ROOM,490000,103.8521735,1.3139654
10 HAIG RD SINGAPORE,3 ROOM,328888.8888888889,103.8958407,1.3147479
10 HOLLAND AVE SINGAPORE,4 ROOM,535250,103.7942256,1.3082166
10 JLN BATU SINGAPORE,5 ROOM,743142.8571428572,103.882909,1.3020705
10 JLN BATU SINGAPORE,EXECUTIVE,815000,103.882909,1.3020705
10 JLN BT HO SWEE SINGAPORE,2 ROOM,205666.66666666666,103.8328117,1.2875052
10 JLN KUKOH SINGAPORE,2 ROOM,214000,103.8390615,1.2869588
10 JLN RUMAH TINGGI SINGAPORE,3 ROOM,360000,103.8084056,1.288325
10 JOO SENG RD SINGAPORE,5 ROOM,537236,103.880205,1.3346786
10 LOR 7 TOA PAYOH SINGAPORE,4 ROOM,580666.6666666666,103.8571807,1.3371227
10 LOR 7 TOA PAYOH SINGAPORE,5 ROOM,712500,103.8571807,1.3371227
10 MARSILING DR SINGAPORE,5 ROOM,330250,103.777276,1.440805
10 PINE CL SINGAPORE,3 ROOM,414841.14285714284,103.882277,1.3091671
10 SELEGIE RD SINGAPORE,3 ROOM,349333.3333333333,103.8505656,1.3037148
10 ST. GEORGE'S RD SINGAPORE,4 ROOM,486500,103.8633858,1.3237886
10 TECK WHYE AVE SINGAPORE,3 ROOM,248444.36363636365,103.7554147,1.380253
